Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/catalog/view/doi:10.18739/A2KK94D17,3,2,0.001253,4,3,2,1
/catalog/view/doi:10.18739/A2348GH20,3,3,0.001251,3,3,3,1
/catalog/view/doi:10.18739/A2W66990B,3,3,0.001248,3,3,3,0.666666667
/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,3,3,0.001246,7,6,4,1
/catalog/view/doi:10.18739/A2H70817C,3,2,0.001244,3,3,2,1
/catalog/view/doi:10.18739/A2PV4H,3,3,0.001241,3,3,3,1
/catalog/view/dcx_d2ddb295-5b74-42e5-8f9c-892844c383e0_1,3,2,0.001239,3,3,2,1
/catalog/view/doi:10.18739/A20P0WR72,3,3,0.001237,3,3,3,1
/catalog/view/doi:10.18739/A2NZ80P8K,3,3,0.001235,3,3,3,1
/catalog/view/dcx_8983e2a2-ac9a-4279-861b-405ae0f6f036_2,3,2,0.001232,3,3,2,1
/catalog/view/doi:10.5065/D6XS5SJT,3,3,0.00123,3,3,3,1
/catalog/view/doi:10.5065/D6PN93R6,3,3,0.001228,3,3,3,1
/catalog/view/doi:10.18739/A2T727G6V,3,5,0.001226,5,5,5,1
/catalog/view/doi:10.18739/A2BZ6189J,3,3,0.001223,3,3,3,1
/catalog/view/urn:uuid:08a91469-e207-4805-86da-e698edddfba9,3,3,0.001221,3,3,3,1
/catalog/view/doi:10.18739/A22B8VC6F,3,2,0.001219,3,3,2,1
/catalog/view/doi:10.18739/A2GV6D,3,3,0.001217,3,3,3,1
/catalog/view/doi:10.18739/A2319S335,3,3,0.001215,3,3,3,1
/catalog/view/doi:10.18739/A2HH6C66D,3,3,0.001213,3,3,3,1
/catalog/view/doi:10.18739/A2JS9H846,3,3,0.001211,3,3,3,1
/catalog/view/doi:10.18739/A26688K3H,3,2,0.001209,3,3,2,1
/catalog/view/doi:10.5065/D64X55Z0,3,3,0.001207,3,3,3,1
/catalog/view/doi:10.18739/A2N873105,3,3,0.001204,3,3,3,1
/catalog/portals/reportcard/,3,2,0.001202,5,4,2,1
/catalog/view/urn:uuid:38cd2334-19b4-42d1-b9fa-263dd86c461a,3,2,0.0012,3,3,2,1
/catalog/view/doi:10.18739/A20863591,3,3,0.001198,3,3,3,1
/catalog/view/doi:10.18739/A20K26C3N,3,2,0.001196,3,3,2,1
/catalog/view/urn:uuid:d4701f04-a5c1-4e6a-a8c1-5e241a1a9e1b,3,3,0.001194,9,7,3,0.333333333
/catalog/view/doi:10.18739/A2R83W,3,3,0.001192,3,3,3,1
/catalog/view/dcx_6ccbb743-f373-472d-9bb5-a2df6172d844_2,3,3,0.00119,4,3,3,0.666666667
/catalog/view/doi:10.5067/OC7B04ZM9G6Q,3,1,0.001188,3,3,1,1
/catalog/view/doi:10.18739/A2PC05,3,3,0.001187,3,3,3,1
/catalog/view/doi:10.18739/A2JZ3X,3,3,0.001185,3,3,3,1
/catalog/view/dcx_d671d973-09b3-41d7-b7e2-acbf2f638627_2,3,2,0.001183,3,3,2,1
